 ID-EVENTO,TITULO,GRATUITO,LARGA-DURACION,DIAS-SEMANA,FECHA,FECHA-FIN,HORA,TITULO-ACTIVIDAD,NOMBRE-INSTALACION,ACCESIBILIDAD-INSTALACION,CLASE-VIAL-INSTALACION,NOMBRE-VIA-INSTALACION,NUM-INSTALACION,DISTRITO-INSTALACION,BARRIO-INSTALACION,LONGITUD,TIPO,AUDIENCIA
12155096,10ª edición de la  Carrera y Caminata Popular por la Diabetes y  ExpoDiabetes,0,0,,2023-11-12 00:00:00.0,2023-11-12 23:59:00.0,09:30,10ª edición de la  Carrera y Caminata Popular por la Diabetes y  ExpoDiabetes,,,,,,,,,/contenido/actividades/ActividadesDeportivas/CarrerasMaratones,
12102925,Autoprotección para mujeres - Temporada 2023-2024,0,1,"L,M,X,J,V,S,D",2023-10-08 00:00:00.0,2024-06-21 23:59:00.0,,,,,,,,,,,/contenido/actividades/ActividadesDeportivas,"/usuario/Jovenes,/usuario/Mujeres"
12153422,Carrera de las Ciudades contra el Cáncer de Páncreas,0,0,,2023-11-19 00:00:00.0,2023-11-19 23:59:00.0,10:00,,Parque Juan Carlos I,2.0,GLORIETA,"S.A.R. DON JUAN DE BORBON Y BATTEMBERG, 5",5.0,BARAJAS,CORRALEJOS,-3.614888870630359,/contenido/actividades/ActividadesDeportivas/CarrerasMaratones,
11441198,Ciclismo por Madrid,0,1,"X,S,D",2023-09-01 00:00:00.0,2024-06-30 23:59:00.0,,Ciclismo por Madrid,,,,,,,,,/contenido/actividades/ActividadesDeportivas/Ciclismo,
12151373,Clinic Voleibol 2023,1,0,,2023-11-09 00:00:00.0,2023-11-09 23:59:00.0,,Primavera en Chamartín 2023,,,,,,,,,,"/usuario/Jovenes,/usuario/Niños"
11234187,Correr por Madrid,0,1,"L,M,X,J",2023-09-01 00:00:00.0,2024-06-30 23:59:00.0,,Correr por Madrid,,,,,,,,,/contenido/actividades/ActividadesDeportivas,
12128700,Madrid Horse Week,0,1,"L,M,X,J,V,S,D",2023-11-24 00:00:00.0,2023-11-26 23:59:00.0,,IFEMA Madrid Horse Week 2023,"IFEMA MADRID, Institución Ferial de Madrid",1.0,AVENIDA,PARTENON,5.0,BARAJAS,CORRALEJOS,-3.616392764349996,/contenido/actividades/ActividadesDeportivas/Hipica,
11445886,Marcha nórdica,0,1,"L,M,X,J",2023-09-01 00:00:00.0,2024-06-30 23:59:00.0,,Marcha nórdica por Madrid,,,,,,,,,/contenido/actividades/ActividadesDeportivas,
11748362,Piragüismo por Madrid,0,1,"V,S,D",2023-09-01 00:00:00.0,2024-07-31 23:59:00.0,,Piragüismo por Madrid,Parque Juan Carlos I,2.0,GLORIETA,"S.A.R. DON JUAN DE BORBON Y BATTEMBERG, 5",5.0,BARAJAS,CORRALEJOS,-3.614888870630359,/contenido/actividades/ActividadesDeportivas,
11445019,Triatlón por Madrid,0,1,"V,S",2023-09-01 00:00:00.0,2024-06-30 23:59:00.0,,Triatlón por Madrid,Centro Deportivo Municipal Cerro Almodóvar,1.0,CALLE,CERRO DE ALMODOVAR,9.0,VILLA DE VALLECAS,SANTA EUGENIA,-3.602336460953483,/contenido/actividades/ActividadesDeportivas/Ciclismo,
12065968,Triatlón por Madrid,0,1,"M,J",2023-09-01 00:00:00.0,2024-06-30 23:59:00.0,,Triatlón por Madrid,Centro Deportivo Municipal Barajas,1.0,AVENIDA,LOGROÑO,70.0,BARAJAS,ALAMEDA DE OSUNA,-3.587693324074623,/contenido/actividades/ActividadesDeportivas/Ciclismo,
11445194,Triatlón por Madrid,0,1,"J,S",2023-09-01 00:00:00.0,2024-06-30 23:59:00.0,,Triatlón por Madrid,Centro Deportivo Municipal Casa de Campo,1.0,PASEO,PUERTA DEL ANGEL,7.0,MONCLOA-ARAVACA,CASA DE CAMPO,-3.733536573641621,/contenido/actividades/ActividadesDeportivas/Ciclismo,
12149680,VII Carrera Vuela Contra la Violencia de Género,0,0,,2023-11-26 00:00:00.0,2023-11-26 23:59:00.0,09:00,,,,,,,,,,/contenido/actividades/ActividadesDeportivas/CarrerasMaratones,
12119380,"Villaverde Activo - Talleres de Calistenia, Parkour y Skate",1,1,"L,M,X,J,V,S,D",2023-10-02 00:00:00.0,2023-12-17 23:59:00.0,,"Villaverde Activo - Deportes Urbanos: Calistenia, Parkour y Skate",,,,,,,,,/contenido/actividades/ActividadesDeportivas,
12152173,Villaverde Activo - Zumba,1,1,"L,M,X,J,V,S,D",2023-10-02 00:00:00.0,2023-12-17 23:59:00.0,,Villaverde Activo - Zumba,,,,,,,,,/contenido/actividades/ActividadesDeportivas,
12142199,XIII Derbi de las Aficiones de Madrid,0,0,,2023-11-12 00:00:00.0,2023-11-12 23:59:00.0,09:00,,,,,,,,,,/contenido/actividades/ActividadesDeportivas/CarrerasMaratones,
12144145,XV Carrera Ponle Freno,0,0,,2023-11-19 00:00:00.0,2023-11-19 23:59:00.0,09:00,,,,,,,,,,/contenido/actividades/ActividadesDeportivas/CarrerasMaratones,
